"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"MCP2515_ArduinoShield";1;"MCP2551_CANmodule";;;
2;"G***,G***";"flag";2;"LOGO";;;
3;"R12";"R_0805_2012Metric";1;"NC";;;
4;"J20,J14,J15,J16,J17,J18,J19,J21,J22,J23,J24,J25,J26";"TE_MATE-N-LOK_1-794374-x_1x01_P4.14mm_Horizontal";13;"Conn_01x01";;;
5;"C1,C3,C6,C7,C8,C9,C10,C11,C12,C13";"C_0805_2012Metric";10;"100n";;;
6;"C2,C4,C5";"C_0805_2012Metric";3;"1u";;;
7;"C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25";"C_0805_2012Metric";12;"10n";;;
8;"D1";"D_1206_3216Metric";1;"DIODE";;;
9;"F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13";"Fuse_1206_3216Metric";13;"Fuse";;;
10;"IC1";"SOP50P490X110-16N";1;"LTC6820IMS#PBF";;;
11;"IC2";"SOP50P780X200-48N";1;"LTC6804-2";;;
12;"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12";"TE_MATE-N-LOK_1-770966-x_1x02_P4.14mm_Horizontal";12;"Conn_01x02";;;
13;"Q1";"SOT-223";1;"Q_NPN_BCE";;;
14;"Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13";"SOT-23";12;"Q_PMOS_GSD";;;
15;"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R60";"R_1206_3216Metric";12;"680";;;
16;"R13";"R_0805_2012Metric";1;"5k";;;
17;"R14,R15,R18,R22,R23,R25,R28,R31,R34,R37,R40,R43,R46,R49,R52,R55,R58";"R_0805_2012Metric";17;"100";;;
18;"R16,R20";"R_0805_2012Metric";2;"1k21";;;
19;"R17,R21";"R_0805_2012Metric";2;"860";;;
20;"R19";"R_0805_2012Metric";1;"10k";;;
21;"R24,R27,R30,R33,R36,R39,R42,R45,R48,R51,R54,R57";"R_0805_2012Metric";12;"3k3";;;
22;"R26,R29,R32,R35,R38,R41,R44,R47,R50,R53,R56,R59";"R_0805_2012Metric";12;"33";;;
23;"T1";"Pulse_PA2001NL";1;"PE-68386NL";;;
24;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP2551-I-SN";;;
25;"U3";"SOT-223";1;"OKI-78SR-3.3_1.5-W36-C";;;
26;"U4";"SOP-8_6.62x9.15mm_P2.54mm";1;"ISO1050DUB";;;
27;"U5";"Converter_DCDC_TRACO_POWER_TEL_10-xxxx_THT";1;"TMR_1-1212";;;
28;"U6";"Arduino_Micro_Socket";1;"ARDUINO_MICRO_SHIELD";;;
29;"J13";"447640802";1;"Conn_01x06";;;
30;"J27";"Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
